Location_ID,Location_Name,Location_Short_Name,Location_Interactive_Name,Address1,City,Province_CD,Postal_Code,Country_CD,Is_VIP,Is_Outtakes,Is_Licensed_Bar,Is_Licensed_Lounge
-100,Cineplex Store,Store,Cineplex Store,https://store.cineplex.com/,Toronto,ON,M4T 2Y9,CA,0,0,0,0
-1,,,,,,  ,,  ,0,0,0,0
0,Head Office,HO,Head Office,1303 Yonge Street,Toronto,ON,M4T 2Y9,CA,0,0,0,0
1001,The Rec Room Brentwood,RB Rec Room,The Rec Room Brentwood,"Unit 2106, 1920 Willingdon Ave",Burnaby,BC,V5C 0K3,CA,0,0,0,0
1101,Station Square Cinemas ,Station Square,Station Square Cinemas ,219-6200 Mckay Avenue,Burnaby,BC,V5H 4L7,CA,0,0,0,0
1102,Clearbrook Cinemas,Clearbrook,Clearbrook Cinemas,250-32500 South Fraser Way,Clearbrook,BC,V2T 4W1,CA,0,0,0,0
1103,CPX Park & Tilford,Park&Tilfrd ,Cineplex Odeon Park & Tilford Cinemas ,200-333 Brooksbank Avenue,N. Vancouver,BC,V7J 3S8,CA,0,0,0,0
1104,Hillcrest Drive In,Hillcrest DI,Hillcrest Drive In,,Surrey,BC,,CA,0,0,0,0
1107,New Westminster Cinema,New Westminster,New Westminster Cinema,299-555 Sixth Street,New Westminster,BC,V3L 5H1,CA,0,0,0,0
1109,Odeon Prince George,Odeon Pr George,Odeon Prince George,355 Vancouver St,Prince George,BC,V2L 2P1,CA,0,0,0,0
1110,Royal Centre Cinemas,Royal Centre Ci,Royal Centre Cinemas,Royal Centre,Vancouver,BC,V6E 4C8,CA,0,0,0,0
1115,Pinetree Cinemas,Pinetree,Pinetree Cinemas,2991 Lougheed Highway,Coquitlam,BC,V3B 6J6,CA,0,0,0,0
1116,Granville Cinemas,Granville,Granville Cinemas,855 Granville St.,Vancouver,BC,V6Z 1K7,CA,0,0,0,0
1118,Dolphin,Dolphin,Dolphin,4555 East Hastings St.,Burnaby,BC,V5C 3G7,CA,0,0,0,0
1119,Fraser,Fraser,Fraser,6294 Fraser Ave.,Vancouver,BC,V5W 3A1,CA,0,0,0,0
1120,Scott 72 Cinemas,Scott 72,Scott 72 Cinemas,7337-120th St.,North Delta,BC,V4C 6P5,CA,0,0,0,0
1122,Oakridge Cinemas,Oakridge,Oakridge Cinemas,601-650 West 41st Ave.,Vancouver,BC,V5Z 2M9,CA,0,0,0,0
1128,Haida Theatre,Haida Theatre,Haida Theatre,808 Yates St.,Victoria,BC,V8W 1L8,CA,0,0,0,0
1129,CPX Odeon Victoria,Odeon Vict,Cineplex Odeon Victoria Cinemas ,780 Yates Street,Victoria,BC,V8W 1L4,CA,0,0,0,0
1130,Towne Victoria,Towne Victoria,Towne Victoria,#106-808 Douglas Street,Victoria,BC,V8W 2B6,CA,0,0,0,0
1131,Skyway Drive-In,Skyway Drive-In,Skyway Drive-In,48th Ave. & 23rd Rd.,Vernon,BC, ,CA,0,0,0,0
1132,Odeon Cinemas West Vancouver,Odeon Cinemas,Odeon Cinemas,1565 Marine Dr.,West Vancouver,BC,V7V 1H9,CA,0,0,0,0
1134,Odeon Kamloops,Odeon Kamloops ,Odeon Kamloops,612 Victoria Street,Kamloops,BC,V2C 2B4,CA,0,0,0,0
1135,Richport Cinemas,Richport Cinema,Richport Cinemas,135 8171 Ackroyd Rd,Richmond,BC,V6X 3K1,CA,0,0,0,0
1136,CPX Strawberry Hill,CPX Strawberry Hill,Cineplex Cinemas Strawberry Hill,12161-72nd Avenue,Surrey,BC,V3W 2M1,CA,0,1,0,0
1137,CPX Aberdeen Mall,Aberdeen,Cineplex Cinemas Aberdeen Mall,700-1320 West Trans Canada Highway,Kamloops,BC,V1S 1J2,CA,0,0,0,0
1141,GLX Nanaimo,Rutherford,Galaxy Cinemas Nanaimo,213-4750 Rutherford Road,Nanaimo,BC,V9T 4K6,CA,0,0,0,0
1142,CPX Pitt Meadows,Meadowtown,Cineplex Odeon Meadowtown Cinemas,"#410, 19800 Lougheed Highway",Pitt Meadows,BC,V3Y 2W1,CA,0,1,0,0
1144,GLX Chilliwack,Chilliwack,Galaxy Cinemas Chilliwack,8249 Eagle Landing Parkway,Chilliwack,BC,V2R 0P9,CA,0,1,0,0
1145,CPX Marine Gateway & VIP,CPX Marine Gateway,Cineplex Cinemas Marine Gateway and VIP,452 South West Marine Drive,Vancouver,BC,V5X 0C3,CA,1,1,0,1
1146,CPX Westshore,Westshore,Cineplex Odeon Westshore Cinemas,900 2945 Jacklin Rd,Langford,BC,V9B 5E3,CA,0,1,0,0
1147,CPX International Village,Intl Village,Cineplex Odeon International Village Cinemas,88 West Pender,Vancouver,BC,V6B 6N9,CA,0,0,0,0
1148,CPX Abbotsford & VIP,Abbotsford,Cineplex Cinemas Abbotsford and VIP,"3122 Mt. Lehman Rd., Unit J200",Abbotsford,BC,V4X 2K9,CA,1,1,0,1
1149,Fifth Avenue Cinemas,Fifth Ave,Fifth Avenue Cinemas (age restricted 19+),2110 Burrard Street,Vancouver,BC,V6J 3H6,CA,0,0,1,1
1150,The Park Theatre,Park,The Park Theatre,3440 Cambie St.,Vancouver,BC,V5Z 2W8,CA,0,0,0,0
1151,CPX Park Royal & VIP,CPX Park Royal,Cineplex Cinemas Park Royal and VIP,3000 Park Royal South,West Vancouver,BC,V7T 2W4,CA,1,1,0,0
1157,Cineplex Cinemas Esplanade,CPX Esplanade,Cineplex Cinemas Esplanade,200 West Esplanade,N. Vancouver,BC,V7M 1A4,CA,0,0,0,0
1400,FP Richmond Centre 6,Richmond,Famous Players Richmond Centre 6 Cinemas,"Richmond Shopping Centre, 6551 No.3 Road",Richmond,BC,V6Y 2B6,CA,0,0,0,0
1401,Esplanade,Esplanage,Esplanade 6,200 West Esplanade,North Vancouver,BC,V7M 1A4,CA,0,0,0,0
1402,"Capital 6, Vancouver","Capital 6, ","Capital 6, Vancouver",FP Closed,Vancouver,BC,,CA,0,0,0,0
1403,SilverCity Guildford,SC Guildfrd,SilverCity Guildford,15051-101 St Avenue,Surrey,BC,V3R 7Z1,CA,0,0,0,0
1404,Willowbrook,Willowbrook,Willowbrook,19677 Willowbrook Drive,Langley,BC,V2Y 1A6,CA,0,0,0,0
1405,CPX Langley,CPX Langley,Cineplex Cinemas Langley,"#20090, 91A Avenue",Langley,BC,V1M 3Y9,CA,0,1,0,0
1406,FP Station Square 7,Station Sq.,Famous Players Station Square Cinemas,220-6200 Mckay Avenue,Burnaby,BC,V5H 4L7,CA,0,0,0,0
1407,SC Mission,SC Mission,SilverCity Mission Cinemas ,"The Junction Plaza, 32555 London Avenue",Mission,BC,V2V 6M7,CA,0,1,0,0
1408,CPX Metropolis,CPX Metropolis,Cineplex Cinemas Metropolis,4700 Kingsway,Burnaby,BC,V5H 4M1,CA,0,1,0,0
1409,SC Riverport,SC Riverport,SilverCity Riverport Cinemas ,14211 Entertainment Way,Richmond,BC,V6W 1K4,CA,0,1,0,0
1410,CPX Orchard Plaza,CPX Orchard Plaza,Cineplex Cinemas Orchard Plaza,160-1876 Cooper Road,Kelowna,BC,V1Y 9N6,CA,0,0,0,0
1411,FP Eagle Ridge 6,Eagle Ridge,Eagle Ridge,2635 Barnet Highway,Coquitlam,BC,V3E 1K9,CA,0,0,0,0
1412,CPX Coquitlam & VIP,CPX Coquitlam & VIP,Cineplex Cinemas Coquitlam and VIP,170 Schoolhouse Street,Coquitlam,BC,V3K 4X9,CA,1,1,0,1
1413,GLX Cinemas Vernon,FP Vernon,Galaxy Cinemas Vernon,275-2306 Highway 6,Vernon,BC,V1T 7E3,CA,0,0,0,0
1414,FP Prince Rupert 3,P. Rupert,Famous Players Prince Rupert Cinemas ,525 West 2nd Avenue,Prince Rupert,BC,V8J 1G9,CA,0,0,0,0
1415,FP Prince George 6,FP P.George,Famous Players 6 Cinemas ,172-1600 15th Avenue,Prince George,BC,V2L 3X3,CA,0,0,0,0
1416,Capitol Victoria,Capitol Vic,Capitol 6 Victoria,805 Yates Street,Victoria,BC,V8W 1M1,CA,0,0,0,0
1417,SC Victoria,SC Victoria,SilverCity Victoria Cinemas ,3130 Tillicum Road,Victoria,BC,V9A 6T2,CA,0,1,0,0
1418,Alliance University,University,University 4 -  Alliance Atlantis,#100-3980 Shelbourne Street,Victoria,BC,V8N 3E2,CA,0,0,0,0
1419,Park - Alliance Cinemas,Park,Park - Alliance Atlantis,3440 Cambie Street,Vancouver,BC,V5Z 2W8,CA,0,0,0,0
1420,Alliance Fifth Avenue,Fifth Ave,Fifth Avenue - Alliance Atlantis,2110 Burrard Street,Vancouver,BC,V6J 3H6,CA,0,0,0,0
1422,SBNK Vancouver,Scotia Vancouver,Scotiabank Theatre Vancouver,900 Burrard Street,Vancouver,BC,V6Z 3G5,CA,0,1,0,0
1423,"Park Theatre, Vancouver","Park Theatre, ","Park Theatre, Vancouver",FP Closed,Vancouver,BC,,CA,0,0,0,0
1448,VANCOUVER CENTRE CINEMAS(CLOSED),VANCOUVER CENTR,VANCOUVER CENTRE CINEMAS(CLOSED),FP Closed,Vancouver,BC,V6B 4N7,CA,0,0,0,0
1700,TEST THEATRE 1700,TEST,TEST,1025 The Queensway,Etobicoke,ON,M8Z 6C7,CA,0,0,0,0
2001,TRR Seasons of Tuxedo,RR Seasons,TRR Seasons of Tuxedo,"Lot 5, 696 Sterling Lyon Pkwy",Winnipeg,MB,R3P 1J9,CA,0,0,1,0
2101,Eaton Place Cinemas,Eaton Place Cin,Eaton Place Cinemas,234 Donald Street,Winnipeg,MB,R3C 1M8,CA,0,0,0,0
2103,CPX Odeon Drive-In (2103 - Closed 2009),Odeon DI ,CPX Odeon Drive-In,4415 Portage Ave.,Winnipeg,MB,R3K 2C2,CA,0,0,0,0
2104,Garrick Cinemas,Garrick Cinemas,Garrick Cinemas,330 Garry St.,Winnipeg,MB,R3B 2G6,CA,0,0,0,0
2105,Grant Park Theatre,Grant Park,Grant Park Theatre,"Unit 127, 1120 Grant Ave.",Winnipeg,MB,R3M 2A6,CA,0,0,0,0
2106,Kings Winnipeg,Kings Winnipeg,Kings Winnipeg,1771 Portage Avenue,Winnipeg,MB,R3J 0E7,CA,0,0,0,0
2109,Towne 8 Cinemas,Towne 8 Cinemas,Towne 8 Cinemas,301 Notre Dame Ave,Winnipeg,MB,R2H 0C7,CA,0,0,0,0
2110,Galaxy Winnipeg,Winnipeg,Galaxy Winnipeg,,Winnipeg,MB,,CA,0,0,0,0
2111,CPX McGillivray & VIP,CPX McGillivray ,Cineplex Odeon McGillivray Cinemas and VIP,2190 McGillivray Boulevard,Winnipeg,MB,R3Y 1S6,CA,1,1,1,1
2112,Northgate,Northgate,Cinema City Northgate,1399 McPhillips Street,Winnipeg,MB,R2V 3C4,CA,0,0,0,0
2113,CPX Odeon Drive-In (2113 - Closed 2009),Odeon DI ,CPX Odeon Drive-In,4415 Portage Ave.,Winnipeg,MB,R3K 2C2,CA,0,0,0,0
2400,FP Garden City 2,Garden City,Garden City,2305 McPhillips Street,Winnipeg,MB,R2V 3E1,CA,0,0,0,0
2401,SBNK Winnipeg,SBNK Winnipeg,Scotiabank Theatre Winnipeg,817 St. James Street,Winnipeg,MB,R3G 3L3,CA,0,1,0,0
2402,SC St. Vital,SC St.Vital,SilverCity St. Vital Cinemas,160-1225 St. Mary's Road,Winnipeg,MB,R2M 5E5,CA,0,1,0,0
2403,FP Kildonan Place 6,Kildonan Pl,Famous Players Kildonan Place Cinemas,1555 Regent Avenue West,Winnipeg,MB,R2C 4J2,CA,0,0,0,0
2408,NORTH STAR CINEMAS(CLOSED),"NORTHSTAR, Winn",NORTH STAR CINEMAS(CLOSED),FP Closed,Winnipeg,MB,,CA,0,0,0,0
2409,PORTAGE PLACE CINEMAS(CLOSED),"PORTAGE PLACE, ",PORTAGE PLACE CINEMAS(CLOSED),FP Closed,Winnipeg,MB,,CA,0,0,0,0
3001,The Rec Room South Edmonton,SE Rec Room,The Rec Room South Edmonton,South Edmonton Common,Edmonton,AB,T6N 1K5,CA,0,0,1,0
3002,The Rec Room Deerfoot,Deerfoot RR,The Rec Room Deerfoot,Rec Room Deerfoot,Calgary,AB,T2E 7P4,CA,0,0,1,0
3003,The Rec Room West Edmonton Mall,W Edmonton,West Edmonton Mall,Unit 2065,Edmonton,AB,T5T 3J7,CA,0,0,1,0
3100,Village Tree Cinemas,Village Tree,Village Tree Cinemas,400 Village Tree St. Mall,St. Albert,AB,T8N 3S1,CA,0,0,0,0
3101,GLX Lethbridge,Lethbridge,Galaxy Cinemas Lethbridge,501-1st Avenue South West,Lethbridge,AB,T1J 0A1,CA,0,1,1,0
3102,Esso Plaza Cinemas,Esso Plaza,Esso Plaza Cinemas,222-5th Ave. S.W.,Calgary,AB,T2P 0L1,CA,0,0,0,0
3103,CPX Seton & VIP,Seton & VIP,Cineplex Cinemas Seton and VIP,"19683 Seton Cres, SE",Calgary,AB,T3M 2N9,CA,1,1,1,0
3104,Corral Drive In,Corral Drive In,Corral Drive In,C/O North Hill Cinema,Calgary,AB,T2M 0L9,CA,0,0,0,0
3105,Showcase Grand Cinemas,Showcase Grand ,Showcase Grand Cinemas,608 1st Street S.W,Calgary,AB,T2P 1M6,CA,0,0,0,0
3106,London Town Square Cinemas,London Town,London Town Square Cinemas,3545 32nd Ave. N.E.,Calgary,AB,T1Y 6M6,CA,0,0,0,0
3107,Marlborough Cinemas,Marlborough,Marlborough Cinemas,1501-515 Marlborough Way N.E.,Calgary,AB,T2A 2K2,CA,0,0,0,0
3108,North Hill Theatre,North Hill,North Hill Theatre,1705-16th Avenue N.W,Calgary,AB,T2M 0L9,CA,0,0,0,0
3109,Northland Village Cinemas,Northland Villa,Northland Village Cinemas,5111 Northland Dr N.W.,Calgary,AB,T2L 2J8,CA,0,0,0,0
3110,Odeon,Odeon Cal,Odeon,2101-33 Avenue S.W And2133-33,Calgary,AB, ,CA,0,0,0,0
3111,Southlands Cinemas Calgary,Southlands Calg,Southlands Cinemas Calgary,"10125 Southport Road,S.W.",Calgary,AB,T2W 3N2,CA,0,0,0,0
3112,Towne Cinemas Calgary,Towne Calgary,Towne Cinemas Calgary,617-8th Ave.S.W.,Calgary,AB,T2P 1H1,CA,0,0,0,0
3114,Westbrook Cinemas Calgary,Westbrook Calg,Westbrook Cinemas Calgary,1002-37th St. S.W.,Calgary,AB,T3C 1S2,CA,0,0,0,0
3116,CPX Westmall 8 ,Westmall 8,Cineplex Odeon West Mall 8,1594 8870 170th  St,Edmonton,AB,T5T 4M2,CA,0,0,0,0
3117,Twin Drive In Edmonton,Twin Drive In,Twin Drive In Edmonton,,Edmonton,AB,,CA,0,0,0,0
3118,Millwoods Drive-In,Millwoods Drive,Millwoods Drive-In,5709-51st Avenue,Edmonton,AB,T6B 2R1,CA,0,0,0,0
3119,Edmonton City Centre,City Centre,Edmonton City Centre,10200-102nd Avenue,Edmonton,AB,T5J 4B7,CA,0,0,0,0
3120,Jasper Cinemas,Jasper Cinemas ,Jasper Cinemas,10120-156th Street,Edmonton,AB,T5P 2P9,CA,0,0,0,0
3121,Meadowlark Theatre,Meadowlark Thea,Meadowlark Theatre,156th Street And 87th Avenue,Edmonton,AB,T5R 5W9,CA,0,0,0,0
3125,Westmall 6 Cinemas,Westmall 6,Westmall 6 Cinemas,"8770-170th Street, #1829",Edmonton,AB,T5T 3J7,CA,0,0,0,0
3126,Westmount 4 Edmonton,Westmount 4 Edm,Westmount 4 Edmonton,Box 2001,Edmonton,AB,T5M 3L7,CA,0,0,0,0
3127,Whitemud Crossing Cinemas,Whitemud,Whitemud Crossing Cinemas,4211 106th  Street,Edmonton,AB,T6A 1E1,CA,0,0,0,0
3128,Principal Plaza,Principal Plaza,Principal Plaza,10032-103 Street,Edmonton,AB,T5J 0X2,CA,0,0,0,0
3129,St. Albert Drive-In,St Albert Drive,St. Albert Drive-In,Gervais Road,St. Albert,AB,T8N 3S1,CA,0,0,0,0
3132,GLX Red Deer,GLX Red Deer,Galaxy Cinemas Red Deer,"357-37400 Highway 2,  Red Deer County",Red Deer,AB,T4E 1B9,CA,0,1,1,0
3134,CPX Eau Claire Market,Eau Claire,Cineplex Odeon Eau Claire Market Cinemas ,"Eau Claire Market, 200 Barclay Parade SW",Calgary,AB,T2P 4R5,CA,0,0,1,0
3135,Capital  Edmonton,Capital Edmon,Capital  Edmonton,10065 Jasper Avenue,Edmonton,AB,T5J 3B1,CA,0,0,0,0
3136,Clareview Cinemas,Clareview,Clareview Cinemas,Clareview Town Centre,Edmonton,AB,T5Y 2W7,CA,0,0,0,0
3137,Canyon Meadows,Canyon Meadows ,Canyon Meadows,Bay 110,Calgary,AB,T2J 7E5,CA,0,0,0,0
3138,CPX Crowfoot Crossing,Crowfoot,Cineplex Odeon Crowfoot Crossing Cinemas,91 Crowfoot Terrace NW,Calgary,AB,T3G 2L5,CA,0,1,0,0
3140,GLX Medicine Hat,Med. Hat,Galaxy Cinemas Medicine Hat,3292 Dunmore Road SE,Medicine Hat,AB,T1B 2R4,CA,0,0,1,0
3141,CPX Grande Prairie,GrndPrairie,Cineplex Odeon Grande Prairie Cinemas,10330 109th Street,Grande Prairie,AB,T8V 7X3,CA,0,0,1,0
3142,CPX Sunridge Spectrum,Sundridge,Cineplex Odeon Sunridge Spectrum Cinemas,"#400, 2555-32nd Street NE",Calgary,AB,T1Y 7J6,CA,0,1,1,0
3143,CPX North Edmonton & VIP,North Edm,Cineplex Cinemas North Edmonton and VIP,14231-137th Avenue,Edmonton,AB,T5L 5E8,CA,1,1,1,0
3144,CPX South Edmonton,South Edm,Cineplex Odeon South Edmonton Cinemas,1525-99th Street NW,Edmonton,AB,T6N 1K5,CA,0,1,0,0
3146,CPX Sherwood Park,CPX Sherwood,Cineplex Cinemas Sherwood Park,2020 Sherwood Drive,Sherwood Park,AB,T8A 3H9,CA,0,1,1,0
3147,Movies 12 Edmonton,Movies 12 Edmonton,Cinema City Movies 12,5074 130 Avenue,Edmonton,AB,T5A 5A9,CA,0,0,1,0
3148,Cinema City 12,,Cinema City 12,3633 99th St,Edmonton,AB,,CA,0,0,0,0
3149,CPX Windermere & VIP ,Windermere,Cineplex Odeon Windermere Cinemas and VIP,6151 Currents Drive NW,Edmonton,AB,T6W 0L9,CA,1,1,0,1
3150,SC CrossIron Mills & Xscape,SC CrossIron,SilverCity CrossIron Mills Cinemas and XSCAPE Entertainment Centre,261055 CrossIron Boulevard,Rocky View,AB,T4A 0G3,CA,0,1,1,0
3151,CPX Manning Town Centre,CPX Manning,Cineplex Cinemas Manning Town Centre,15531 37 ST NW,Edmonton,AB,T5Y 0S5 ,CA,0,1,1,0
3152,CPX East Hills,CPX East Hills,Cineplex Cinemas East Hills,205 East Hills Boulevard SE,Calgary,AB,T2A 7A6,CA,0,0,1,0
3400,Coliseum Calgary,Coli.Calgry,Coliseum Calgary,100-16061 Mc loed trail S.E.,Calgary,AB,T2Y 3S5,CA,0,0,1,0
3401,SBNK Chinook,Scotia Chinook,Scotiabank Theatre Chinook,6455 Macleod Trail SW ,Calgary,AB,T2H 0K4,CA,0,1,1,0
3402,SilverCity Country Hills,SC C. Hills,SilverCity Country Hills,388 Country Hills Blvd. NE,Calgary,AB,T3K 5J6,CA,0,0,0,0
3403,SBNK Edmonton,Scotia Edmonton,Scotiabank Theatre Edmonton,"#3030, 8882-170 Street",Edmonton,AB,T5T 4M2,CA,0,1,0,0
3404,Westmount Centre,Westmount C,Westmount Centre,2003 Westmount Shopping Ctr.,Edmonton,AB,T5M 3L7,CA,0,0,0,0
3405,Centre,Centre,Lethbridge Centre,440-200 4th Avenue South,Lethbridge,AB,T1J 3Z4,CA,0,0,0,0
3406,Paramount,Paramount,Paramount Lethbridge,4TH Avenue & 8th Street S.,Lethbridge,AB,T1J 3Z4,CA,0,0,0,0
3407,Gateway,Gway Edm,Gateway 8 Edmonton,2950 Calgary Trail South,Edmonton,AB,T6J 6V5,CA,0,0,0,0
3408,FP Park Plaza 6,Park Plaza,Park Plaza Red Deer,5214- 47th Avenue,Red Deer,AB,T4N 5E8,CA,0,0,0,0
3409,CPX Westhills,Westhills,Cineplex Odeon Westhills Cinemas ,165 Stewart Green SW,Calgary,AB,T3H 3C8,CA,0,0,1,0
3410,"Paramount,Edmonton",Paramount,"Paramount,Edmonton",FP Closed,Edmonton,AB,,CA,0,0,0,0
3411,"Centre Cinemas, Lethbridge",Centre Cinem,"Centre Cinemas, Lethbridge",FP Closed,Lethbridge,AB,,CA,0,0,0,0
3420,SUNRIDGE MALL CINEMAS,"SUNRIDGE, Calga",SUNRIDGE MALL CINEMAS,FP Closed,Calgary ,AB,,CA,0,0,0,0
3421,"BANKER'S HALL, CALGARY(CLOSED) FP or Alliance",BANKERS HALL - ,"BANKER'S HALL, CALGARY(CLOSED) FP or Alliance",FP Closed,Calgary ,AB,,CA,0,0,0,0
3422,MARKET MALL CINEMAS,"MARKET MALL, Ca",MARKET MALL CINEMAS,FP Closed,Calgary ,AB,,CA,0,0,0,0
3634,CPX CINESCAPE,Cinescape,CPX CINESCAPE,200 Barlay Parade S.W.,Calgary,AB,T2P 4R5,CA,0,0,0,0
3701,CMC,CMC,CMC,1303 Yonge Street,Toronto,ON,M4T 2Y9,CA,0,0,0,0
4100,Coronet Cinemas,Coronet,Coronet Cinemas,,Regina,SK,,CA,0,0,0,0
4101,Odeon Centre,Odeon Centre,Odeon Centre,1953 Broad Street,Regina,SK, ,CA,0,0,0,0
4102,Cinema 6 Drive-In,Cinema 6 Drive,Cinema 6 Drive-In,,Regina,SK,,CA,0,0,0,0
4103,Sundown Drive In,Sundown Drive I,Sundown Drive In,Highway 5 E.,Saskatoon,SK, ,CA,0,0,0,0
4104,Southwinds Drive In,Southwinds Driv,Southwinds Drive In,Highway 11 South,Saskatoon,SK, ,CA,0,0,0,0
4105,Crystal Palace,Crystal Palace,Crystal Palace,Crystal Palace Mall,Moncton,NB,A1A 1A1,CA,0,0,0,0
4106,CPX Pacific 4,Pacific,Pacific,101 Pacific Avenue,Saskatoon,SK,S7K 1N7,CA,0,0,0,0
4107,Towne Cinemas Saskatoon,Towne Cinemas,Towne Cinemas,320-20th Street West,Saskatoon,SK,S7K 3S7,CA,0,0,0,0
4108,CPX Southland,Southland,Cineplex Cinemas Southland,3025 Gordon Road,Regina,SK,S4S 6H7,CA,0,0,0,0
4109,CPX Centre Cinemas Sask,Ctr Cinema,Cineplex Odeon Centre Cinemas,3510-8th Street,Saskatoon,SK,S7H 0W6,CA,0,0,0,0
4110,GLX Saskatoon (Old),Saskatoon (Old),Galaxy Cinemas Saskatoon,347 2nd Ave. South,Saskatoon,SK,S7K 1L1,CA,0,0,0,0
4112,GLX Prince Albert,South Hill,Galaxy Cinemas Prince Albert,"2995 2nd Avenue West, Unit 1C",Prince Albert,SK,S6V 5V5,CA,0,1,0,0
4113,GLX Moose Jaw,TownNCount.,Galaxy Cinemas Moose Jaw,1235 Main Street North,Moose Jaw,SK,S6H 6M4,CA,0,0,0,0
4114,CPX Normanview,CPX Normanview,Cineplex Cinemas Normanview (Formerly Cineplex Cinemas Regina),"420 McCarthy Boulevard North, Unit 26",Regina,SK,S4R 7M2,CA,0,1,0,0
4115,CPX Cinemas at The Centre,CPX Centre Saskatoon,Cineplex Cinemas at The Centre,3510-8th Street,Saskatoon,SK,S7H 0W6,CA,0,0,0,0
4400,Capitol Saskatoon,Capitol Sas,Capitol 4 Saskatoon,216 1st Avenue South,Saskatoon,SK,S7K 1K3,CA,0,0,0,0
4401,CORNWALL CENTRE CINEMAS,"CORNWALL CTR., ",CORNWALL CENTRE CINEMAS,FP Closed,Regina,SK,,CA,0,0,0,0
4402,MIDTOWN CINEMAS(CLOSED),"MIDTOWN, Saskat",MIDTOWN CINEMAS(CLOSED),FP Closed,Saskatoon,SK,,CA,0,0,0,0
4403,SBNK Saskatoon & VIP,SBNK Saskatoon,Scotiabank Theatre Saskatoon and VIP,347-2nd Avenue South,Saskatoon,SK,S7K 1L1,CA,1,1,0,1
5002,Playdium Dartmouth,RS,Playdium Dartmouth,21 Cabela Road,Dartmouth,NS,B3B 0P4,CA,0,0,0,0
5103,CPX Sydney,CPX Sydney,Cineplex Cinemas Sydney,325 Prince Street,Sydney,NS,B1P 5K6,CA,0,0,0,0
5104,CPX Bridgewater,CPX Bridgewater,Cineplex Cinemas Bridgewater,349 Lahave Street,Bridgewater,NS,B4V 2T6,CA,0,0,0,0
5114,CPX New Glasgow,CPX New Glasgow,Cineplex Cinemas New Glasgow,612 East River Road,New Glasgow,NS,B2H 3S2,CA,0,0,0,0
